1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,"1,924,688,333",Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,"3,935,892,857",Pengembangan
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,"620,806,680",Pengembangan
4,ABMM,ABM Investama Tbk.,06 Des 2011,"2,753,165,000",Utama
5,ACES,Ace Hardware Indonesia Tbk.,06 Nov 2007,"17,150,000,000",Utama
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,"12,675,160,000",Utama
7,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,"22,222,222,200",Utama
8,ADES,Akasha Wira International Tbk.,13 Jun 1994,"589,896,800",Pengembangan
9,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,"3,560,849,376",Utama
10,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,"1,000,000,000",Utama
11,ADMG,Polychem Indonesia Tbk,20 Okt 1993,"3,889,179,559",Utama
12,ADMR,Adaro Minerals Indonesia Tbk.,03 Jan 2022,"40,882,331,500",Pengembangan
13,ADRO,Adaro Energy Indonesia Tbk.,16 Jul 2008,"31,985,962,000",Utama
14,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,"1,000,000,000",Pengembangan
15,AGII,Aneka Gas Industri Tbk.,28 Sep 2016,"3,066,660,000",Utama
16,AGRO,Bank Raya Indonesia Tbk.,08 Ags 2003,"22,520,433,863",Utama
17,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,"27,464,646,945",Pengembangan
18,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,"4,900,000,000",Pengembangan
19,AIMS,Akbar Indo Makmur Stimec Tbk,20 Jul 2001,"220,000,000",Pengembangan
20,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,"9,311,800,000",Utama
21,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Pengembangan
22,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,"612,248,000",Pengembangan
23,AKRA,AKR Corporindo Tbk.,03 Okt 1994,"20,073,474,600",Utama
24,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,"720,000,000",Pengembangan
25,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,"1,316,856,070",Pengembangan
26,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,"507,665,055",Pengembangan
27,ALMI,Alumindo Light Metal Industry,02 Jan 1997,"3,816,000,000",Pengembangan
28,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,"2,191,870,558",Utama
29,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,"5,001,552,516",Pengembangan
30,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,"3,873,500,000",Utama
31,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,"13,646,222,000",Pengembangan
